EMPRESA,ANO,INFERÊNCIA (A),INFERÊNCIA (B),P(A),P(A|B),FONTE
Positive Technologies,2020,ciberataque,aplicação web,-,0.17,https://www.ptsecurity.com/ww-en/analytics/web-vulnerabilities-2020-2021/
ThoughtLab.,2022,melhorias,vazamento,-,0.38,https://thoughtlabgroup.com/cyber-solutions-riskier-world/
Verizon,2022,vazamento de dados,elemento humano,-,0.82,https://www.verizon.com/business/resources/reports/2022/dbir/2022-data-breach-investigations-report-dbir.pdf
Forbes,2022,plano de cibersegurança,empresa pequena,-,0.43,https://www.forbes.com/sites/chuckbrooks/2022/01/21/cybersecurity-in-2022--a-fresh-look-at-some-very-alarming-stats/?sh=77c0868d6b61/
Positive Technologies,2022,setor de comércio,ransomware,-,0.79,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
Verizon,2023,phishing,e-mail,-,0.96,https://www.verizon.com/business/resources/reports/dbir/
Cybertalk.org,2022,phishing,vazamento de dados,-,0.9,https://www.cybertalk.org/2022/03/30/top-15-phishing-attack-statistics-and-they-might-scare-you/
Positive Technologies,2022,vazamento de dados confidenciais,malware,-,0.4,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
Positive Technologies,2022,roubo de dados de clientes,malware | setor de comércio,-,0.7,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
Threat Intelligence,2023,ciberataque,setor de comércio,-,0.24,https://www.threatintelligence.com/blog/retail-cybersecurity/
Threat Intelligence,2023,E-commerce,setor de comércio,-,0.324,https://www.threatintelligence.com/blog/retail-cybersecurity/
Fortinet,2021,phishing de credenciais,setor de comércio,-,0.3043,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
Fortinet,2021,malware,setor de comércio,-,0.2174,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
Fortinet,2021,ransomware,setor de comércio,-,0.1304,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
Fortinet,2021,DDoS,setor de comércio,-,0.1014,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
Fortinet,2021,outros ataques,setor de comércio,-,24.65,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
Medicina S/A,2022,vazamento de dados,Brasil,-,0.43,https://medicinasa.com.br/ciberataque-saude/
Medicina S/A,2022,setor de comércio,ciberataque | Brasil,-,0.19,https://medicinasa.com.br/ciberataque-saude/
Medicina S/A,2022,setor financeiro,ciberataque | Brasil,-,0.09,https://medicinasa.com.br/ciberataque-saude/
IBM,2023,uso de aplicações na nuvem,vazamento de dados,-,0.82,https://www.ibm.com/downloads/cas/E3G5JMBP
Tausight,2023,perda de receita,ciberataque | setor de saúde,-,0.9,https://www.tausight.com/healthcare-and-cybersecurity-key-statistics/
Astra Security,2023,vazamento de dados no setor de saúde,funcionários negligentes,-,0.61,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
Astra Security,2020,vazamento de dados,setor de saúde,-,0.93,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
Astra Security,2022,vazamento de segurança,setor de saúde,-,0.9,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
Astra Security,2022,vazamento de segurança,grandes empresas | setor de saúde,-,0.3,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
Astra Security,2023,ciberataque,pequenas e médias empresas,-,0.43,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
Astra Security,2023,grande vazamento de dados,setor de saúde,-,0.3,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
Astra Security,2023,erro humano,vazamento de segurança,-,0.95,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
Astra Security,2023,falência,ransomware | pequenas e médias empresas,-,0.75,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
Astra Security,2022,vazamento de dados,phishing,-,0.36,https://www.getastra.com/blog/security-audit/phishing-attack-statistics/
Verizon,2022,ciberataque,pequenas e médias empresas,-,0.43,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Sophos,2023,ransomware,setor financeiro,-,0.64,"https://news.sophos.com/en-us/2023/07/13/the-state-of-ransomware-in-financial-services-2023/#:~:text=The%202023%20survey%20revealed%20that,sector%20in%20the%202021%20report."
Sophos,2023,frequência de ataque de ransomware,setor financeiro,-,0.66,"https://news.sophos.com/en-us/2023/07/13/the-state-of-ransomware-in-financial-services-2023/#:~:text=The%202023%20survey%20revealed%20that,sector%20in%20the%202021%20report."
CircleID,2022,phishing,setor de saúde,-,0.507,https://circleid.com/posts/20230208-healthcare-industry-was-the-most-common-victim-of-third-party-breaches-in-2022
Verizon,2023,atores externos,vazamento de dados,-,0.83,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,vazamento de dados,-,0.19,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,aplicação web,brecha,-,0.6,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,ransomware,incidente,-,0.62,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,asset: server,brecha,-,0.82,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,asset: person,brecha,-,0.21,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,asset: user dev,brecha,-,0.17,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,dos,-,1,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,setor financeiro,-,0.66,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,setor financeiro,-,0.34,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,setor financeiro,-,0.97,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados pessoais comprometidos,setor financeiro,-,0.74,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,setor financeiro,-,0.38,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,setor de saúde,-,0.66,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,setor de saúde,-,0.35,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,setor de saúde,-,0.98,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados pessoais comprometidos,setor de saúde,-,0.67,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,setor de saúde,-,0.36,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados médicos comprometidos,setor de saúde,-,0.54,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,setor de comércio,-,0.94,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,setor de comércio,-,0.07,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,setor de comércio,-,1,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados pessoais comprometidos,setor de comércio,-,0.23,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,setor de comércio,-,0.35,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de pagamentos comprometidos,setor de comércio,-,0.37,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,pequenas e médias empresas,-,0.94,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,pequenas e médias empresas,-,0.07,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,pequenas e médias empresas,-,0.98,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,pequenas e médias empresas,-,0.37,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados de credenciais comprometidos,pequenas e médias empresas,-,0.54,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores externos,grandes empresas,-,0.89,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,atores internos,grandes empresas,-,0.13,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,motivo: financeiro,grandes empresas,-,0.97,https://www.verizon.com/business/en-gb/resources/reports/dbir/
Verizon,2023,dados internos comprometidos,grandes empresas,-,0.41,https://www.verizon.com/business/en-gb/resources/reports/dbir/
