EMPRESA,ANO,INFERÊNCIA (A),INFERÊNCIA (B),VALOR,MÉTRICA,FONTE
Sophos,2021,custo,ransomware,"170,404.00",dólar,The State of Ransomware in Retail 2021 - Sophos
Sophos,2021,custo,ransomware | setor de comércio,"147,811.00",dólar,The State of Ransomware in Retail 2021 - Sophos
Sophos,2021,custo,brecha,"4,450,000.00",dólar,The State of Ransomware in Retail 2021 - Sophos
IBM,2023,custo | brecha,Brasil,"1,220,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Estados Unidos,"9,480,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Oriente Médio,"8,070,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Canadá,"5,130,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Alemanha,"4,670,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Japão,"4,520,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Reino Unido,"4,210,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,França,"4,080,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Itália,"3,860,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,América Latina,"3,690,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Coréia do Sul,"3,480,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,África do Sul,"2,790,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Austrália,"2,700,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
IBM,2023,custo | brecha,Índia,"2,180,000.00",dólar,Cost of a Data Breach Report 2023 - IBM
Sonicwall,2022,ransomware,-,693.3M,ataques,2023 SonicWall Cyber Threat Report
Sonicwall,2022,malware,-,5.5B,ataques,2023 SonicWall Cyber Threat Report
IBM,2021,custo | brecha,pequenas e médias empresas,"420,000.00",dólar,https://www.ibm.com/security/data-breach
