INFERÊNCIA (A),INFERÊNCIA (B),P(A),P(A|B),ANO,Empresa,FONTE
ciberataque,aplicação web,-,0.17,2020,Positive Technologies,https://www.ptsecurity.com/ww-en/analytics/web-vulnerabilities-2020-2021/
melhorias,vazamento,-,0.38,2022,ThoughtLab.,https://thoughtlabgroup.com/cyber-solutions-riskier-world/
vazamento de dados,elemento humano,-,0.82,2022,Verizon,https://www.verizon.com/business/resources/reports/2022/dbir/2022-data-breach-investigations-report-dbir.pdf
plano de cibersegurança,empresa pequena,-,0.43,2022,Forbes,https://www.forbes.com/sites/chuckbrooks/2022/01/21/cybersecurity-in-2022--a-fresh-look-at-some-very-alarming-stats/?sh=77c0868d6b61/
setor de comércio,ransomware,-,0.79,2022,Positive Technologies,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
phishing,e-mail,-,0.96,2023,Verizon,https://www.verizon.com/business/resources/reports/dbir/
phishing,vazamento de dados,-,0.9,2022,Cybertalk.org,https://www.cybertalk.org/2022/03/30/top-15-phishing-attack-statistics-and-they-might-scare-you/
vazamento de dados confidenciais,malware,-,0.4,2022,Positive Technologies,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
roubo de dados de clientes,malware | setor de comércio,-,0.7,2022,Positive Technologies,https://www.ptsecurity.com/ww-en/analytics/cybersecurity-threatscape-2022-q2/
ciberataque,setor de comércio,-,0.24,2023,Threat Intelligence,https://www.threatintelligence.com/blog/retail-cybersecurity/
E-commerce,setor de comércio,-,0.324,2023,Threat Intelligence,https://www.threatintelligence.com/blog/retail-cybersecurity/
phishing de credenciais,setor de comércio,-,0.3043,2021,Fortinet,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
malware,setor de comércio,-,0.2174,2021,Fortinet,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
ransomware,setor de comércio,-,0.1304,2021,Fortinet,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
DDoS,setor de comércio,-,0.1014,2021,Fortinet,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
outros ataques,setor de comércio,-,24.65,2021,Fortinet,https://www.fortinet.com/solutions/industries/retail/retail-cybersecurity-statistics/
vazamento de dados,Brasil,-,0.43,2022,Medicina S/A,https://medicinasa.com.br/ciberataque-saude/
setor de comércio,ciberataque | Brasil,-,0.19,2022,Medicina S/A,https://medicinasa.com.br/ciberataque-saude/
setor financeiro,ciberataque | Brasil,-,0.09,2022,Medicina S/A,https://medicinasa.com.br/ciberataque-saude/
uso de aplicações na nuvem,vazamento de dados,-,0.82,2023,IBM,https://www.ibm.com/downloads/cas/E3G5JMBP
perda de receita,ciberataque | setor de saúde,-,0.9,2023,Tausight,https://www.tausight.com/healthcare-and-cybersecurity-key-statistics/
vazamento de dados no setor de saúde,funcionários negligentes,-,0.61,2023,Astra Security,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
vazamento de dados,setor de saúde,-,0.93,2020,Astra Security,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
vazamento de segurança,setor de saúde,-,0.9,2022,Astra Security,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
vazamento de segurança,grandes empresas | setor de saúde,-,0.3,2022,Astra Security,https://www.getastra.com/blog/security-audit/healthcare-data-breach-statistics/
ciberataque,pequenas e médias empresas,-,0.43,2023,Astra Security,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
grande vazamento de dados,setor de saúde,-,0.3,2023,Astra Security,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
erro humano,vazamento de segurança,-,0.95,2023,Astra Security,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
falência,ransomware | pequenas e médias empresas,-,0.75,2023,Astra Security,https://www.getastra.com/blog/security-audit/small-business-cyber-attack-statistics/
vazamento de dados,phishing,-,0.36,2022,Astra Security,https://www.getastra.com/blog/security-audit/phishing-attack-statistics/
ciberataque,pequenas e médias empresas,-,0.43,2022,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
ransomware,setor financeiro,-,0.64,2023,Sophos,"https://news.sophos.com/en-us/2023/07/13/the-state-of-ransomware-in-financial-services-2023/#:~:text=The%202023%20survey%20revealed%20that,sector%20in%20the%202021%20report."
frequência de ataque de ransomware,setor financeiro,-,0.66,2023,Sophos,"https://news.sophos.com/en-us/2023/07/13/the-state-of-ransomware-in-financial-services-2023/#:~:text=The%202023%20survey%20revealed%20that,sector%20in%20the%202021%20report."
phishing,setor de saúde,-,0.507,2022,CircleID,https://circleid.com/posts/20230208-healthcare-industry-was-the-most-common-victim-of-third-party-breaches-in-2022
atores externos,vazamento de dados,-,0.83,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,vazamento de dados,-,0.19,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
aplicação web,brecha,-,0.6,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
ransomware,incidente,-,0.62,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
asset: server,brecha,-,0.82,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
asset: person,brecha,-,0.21,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
asset: user dev,brecha,-,0.17,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,dos,-,1,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,setor financeiro,-,0.66,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,setor financeiro,-,0.34,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
motivo: financeiro,setor financeiro,-,0.97,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados pessoais comprometidos,setor financeiro,-,0.74,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
dados de credenciais comprometidos,setor financeiro,-,0.38,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores externos,setor de saúde,-,0.66,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
atores internos,setor de saúde,-,0.35,2023,Verizon,https://www.verizon.com/business/en-gb/resources/reports/dbir/
