Reputação,Periodicidade,Cobertura,Escopo,Abrangência,Metodologia,Peso Final,Score
0,2,0,0,2,0,1.54,Ruim
0,2,1,1,2,0,2.31,Ruim
2,2,1,1,2,0,3.85,Bom
2,2,2,2,1,2,5.62,Ótimo
2,2,1,1,2,2,5.23,Ótimo
2,2,2,2,2,2,6.0,Ótimo
2,2,2,2,2,1,5.31,Ótimo
0,2,0,0,2,0,1.54,Ruim
2,2,2,2,2,2,6.0,Ótimo
1,2,1,1,2,2,4.46,Bom
0,2,0,0,2,1,2.23,Ruim
1,2,2,2,2,2,5.23,Ótimo
2,2,2,2,2,2,6.0,Ótimo
1,2,2,2,2,2,5.23,Ótimo
1,2,1,1,2,1,3.77,Bom
0,2,1,1,2,1,3.0,Bom
1,2,0,0,2,1,3.0,Bom
2,2,2,2,2,2,6.0,Ótimo
2,2,1,1,2,1,4.54,Bom
